Designator Footprint          Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment   

FID3       FIDUCIAL         2470mil       8050mil       2470mil       8050mil       2470mil       8050mil  T         90.00 FIDUCIAL  
C30.8      1206             2980mil       4250mil       2980mil       4250mil   3035.118mil       4250mil  T        180.00 CAPACITOR 
C30.9      1206             2980mil       3760mil       2980mil       3760mil   3035.118mil       3760mil  T        180.00 CAPACITOR 
C30.10     1206             2980mil       3270mil       2980mil       3270mil   3035.118mil       3270mil  T        180.00 CAPACITOR 
C33.1      3216             3560mil       7880mil       3560mil       7880mil   3615.118mil       7880mil  T        180.00 Tantalum  
C33.2      3216             3560mil       7390mil       3560mil       7390mil   3615.118mil       7390mil  T        180.00 Tantalum  
C33.3      3216             3560mil       6900mil       3560mil       6900mil   3615.118mil       6900mil  T        180.00 Tantalum  
C33.4      3216             3560mil       6410mil       3560mil       6410mil   3615.118mil       6410mil  T        180.00 Tantalum  
C33.5      3216             3540mil       5920mil       3540mil       5920mil   3595.118mil       5920mil  T        180.00 Tantalum  
C33.6      3216             3540mil       5390mil       3540mil       5390mil   3595.118mil       5390mil  T        180.00 Tantalum  
C33.7      3216             3560mil       4900mil       3560mil       4900mil   3615.118mil       4900mil  T        180.00 Tantalum  
C33.8      3216             3560mil       4410mil       3560mil       4410mil   3615.118mil       4410mil  T        180.00 Tantalum  
C33.9      3216             3560mil       3920mil       3560mil       3920mil   3615.118mil       3920mil  T        180.00 Tantalum  
C33.10     3216             3560mil       3430mil       3560mil       3430mil   3615.118mil       3430mil  T        180.00 Tantalum  
C34.1      3216             3580mil       7560mil       3580mil       7560mil   3635.118mil       7560mil  T        180.00 Tantalum  
C34.2      3216             3580mil       7070mil       3580mil       7070mil   3635.118mil       7070mil  T        180.00 Tantalum  
C34.3      3216             3580mil       6580mil       3580mil       6580mil   3635.118mil       6580mil  T        180.00 Tantalum  
C34.4      3216             3580mil       6090mil       3580mil       6090mil   3635.118mil       6090mil  T        180.00 Tantalum  
C34.5      3216             3560mil       5600mil       3560mil       5600mil   3615.118mil       5600mil  T        180.00 Tantalum  
C34.6      3216             3560mil       5070mil       3560mil       5070mil   3615.118mil       5070mil  T        180.00 Tantalum  
C34.7      3216             3580mil       4580mil       3580mil       4580mil   3635.118mil       4580mil  T        180.00 Tantalum  
C34.8      3216             3580mil       4090mil       3580mil       4090mil   3635.118mil       4090mil  T        180.00 Tantalum  
C34.9      3216             3580mil       3600mil       3580mil       3600mil   3635.118mil       3600mil  T        180.00 Tantalum  
C34.10     3216             3580mil       3110mil       3580mil       3110mil   3635.118mil       3110mil  T        180.00 Tantalum  
C35.1      0603             4360mil       7560mil       4360mil       7560mil   4393.465mil       7560mil  T        180.00 CAPACITOR 
C35.2      0603             4360mil       7070mil       4360mil       7070mil   4393.465mil       7070mil  T        180.00 CAPACITOR 
C35.3      0603             4360mil       6580mil       4360mil       6580mil   4393.465mil       6580mil  T        180.00 CAPACITOR 
C35.4      0603             4360mil       6090mil       4360mil       6090mil   4393.465mil       6090mil  T        180.00 CAPACITOR 
C35.5      0603             4360mil       5600mil       4360mil       5600mil   4393.465mil       5600mil  T        180.00 CAPACITOR 
C35.6      0603             4360mil       5070mil       4360mil       5070mil   4393.465mil       5070mil  T        180.00 CAPACITOR 
C35.7      0603             4360mil       4580mil       4360mil       4580mil   4393.465mil       4580mil  T        180.00 CAPACITOR 
C35.8      0603             4360mil       4090mil       4360mil       4090mil   4393.465mil       4090mil  T        180.00 CAPACITOR 
C35.9      0603             4360mil       3600mil       4360mil       3600mil   4393.465mil       3600mil  T        180.00 CAPACITOR 
C35.10     0603             4360mil       3110mil       4360mil       3110mil   4393.465mil       3110mil  T        180.00 CAPACITOR 
C36.1      0603             4360mil       7880mil       4360mil       7880mil   4393.465mil       7880mil  T        180.00 CAPACITOR 
C36.2      0603             4360mil       7390mil       4360mil       7390mil   4393.465mil       7390mil  T        180.00 CAPACITOR 
C36.3      0603             4360mil       6900mil       4360mil       6900mil   4393.465mil       6900mil  T        180.00 CAPACITOR 
C36.4      0603             4360mil       6410mil       4360mil       6410mil   4393.465mil       6410mil  T        180.00 CAPACITOR 
C36.5      0603             4360mil       5920mil       4360mil       5920mil   4393.465mil       5920mil  T        180.00 CAPACITOR 
